uid,province,district,name,electionday,pre,abroad,dis,cons,NVoters,NValid,Votes,isprevote,type,isabroad,isdisab,constit
16603,15692,yeonsugueul,abroad,0,0,1,0,Incheon Metropolitan City_5,852,190,111,FALSE,d,TRUE,FALSE,Incheon Metropolitan City_5
15884,15692,namdonggugab,nonhyeongojandongjei3tu,1,0,0,0,Incheon Metropolitan City_6,218647,83278,41680,FALSE,p,FALSE,FALSE,Incheon Metropolitan City_6
15871,15692,namdonggugab,prevote_in,0,1,0,0,Incheon Metropolitan City_6,218647,50365,30970,TRUE,p,FALSE,FALSE,Incheon Metropolitan City_6
15812,15692,namdonggugab,abroad,0,0,1,0,Incheon Metropolitan City_6,559,160,120,FALSE,d,TRUE,FALSE,Incheon Metropolitan City_6
15931,15692,namdonggueul,mansu1dongjei5tu,1,0,0,0,Incheon Metropolitan City_7,227960,88403,44872,FALSE,p,FALSE,FALSE,Incheon Metropolitan City_7
15961,15692,namdonggueul,prevote_in,0,1,0,0,Incheon Metropolitan City_7,227960,55811,33804,TRUE,p,FALSE,FALSE,Incheon Metropolitan City_7
15899,15692,namdonggueul,abroad,0,0,1,0,Incheon Metropolitan City_7,585,163,117,FALSE,d,TRUE,FALSE,Incheon Metropolitan City_7
16259,15692,bupyeonggugab,bugae1dongjei2tu,1,0,0,0,Incheon Metropolitan City_8,231765,84355,44653,FALSE,p,FALSE,FALSE,Incheon Metropolitan City_8
16251,15692,bupyeonggugab,prevote_in,0,1,0,0,Incheon Metropolitan City_8,231765,52120,32673,TRUE,p,FALSE,FALSE,Incheon Metropolitan City_8
16194,15692,bupyeonggugab,abroad,0,0,1,0,Incheon Metropolitan City_8,619,169,133,FALSE,d,TRUE,FALSE,Incheon Metropolitan City_8
16301,15692,bupyeonggueul,sangog2dongjei3tu,1,0,0,0,Incheon Metropolitan City_9,204339,80775,42091,FALSE,p,FALSE,FALSE,Incheon Metropolitan City_9
16298,15692,bupyeonggueul,prevote_in,0,1,0,0,Incheon Metropolitan City_9,204339,51348,32031,TRUE,p,FALSE,FALSE,Incheon Metropolitan City_9
16288,15692,bupyeonggueul,abroad,0,0,1,0,Incheon Metropolitan City_9,597,184,141,FALSE,d,TRUE,FALSE,Incheon Metropolitan City_9
17082,16854,jeijusigab,nohyeongdongjei3tu,1,0,0,0,Jeju Special Self-Governing Province_1,208193,79209,35898,FALSE,p,FALSE,FALSE,Jeju Special Self-Governing Province_1
17016,16854,jeijusigab,prevote_in,0,1,0,0,Jeju Special Self-Governing Province_1,208193,47229,25651,TRUE,p,FALSE,FALSE,Jeju Special Self-Governing Province_1
16998,16854,jeijusigab,abroad,0,0,1,0,Jeju Special Self-Governing Province_1,467,100,76,FALSE,d,TRUE,FALSE,Jeju Special Self-Governing Province_1
17155,16854,jeijusieul,ido1dongjei2tu,1,0,0,0,Jeju Special Self-Governing Province_2,191472,73603,37896,FALSE,p,FALSE,FALSE,Jeju Special Self-Governing Province_2
17115,16854,jeijusieul,prevote_in,0,1,0,0,Jeju Special Self-Governing Province_2,191472,47720,29253,TRUE,p,FALSE,FALSE,Jeju Special Self-Governing Province_2
17112,16854,jeijusieul,abroad,0,0,1,0,Jeju Special Self-Governing Province_2,390,85,56,FALSE,d,TRUE,FALSE,Jeju Special Self-Governing Province_2
16892,16854,seogwiposi,namwueoneubjei14tu,1,0,0,0,Jeju Special Self-Governing Province_3,152337,55937,28568,FALSE,p,FALSE,FALSE,Jeju Special Self-Governing Province_3
16958,16854,seogwiposi,prevote_in,0,1,0,0,Jeju Special Self-Governing Province_3,152337,40116,24707,TRUE,p,FALSE,FALSE,Jeju Special Self-Governing Province_3
16861,16854,seogwiposi,abroad,0,0,1,0,Jeju Special Self-Governing Province_3,339,82,63,FALSE,d,TRUE,FALSE,Jeju Special Self-Governing Province_3
18109,17204,jeonjusigab,inhu3dongjei6tu,1,0,0,0,Jeollabuk do_1,145479,46124,32698,FALSE,p,FALSE,FALSE,Jeollabuk do_1
18066,17204,jeonjusigab,prevote_in,0,1,0,0,Jeollabuk do_1,145479,45998,35068,TRUE,p,FALSE,FALSE,Jeollabuk do_1
18043,17204,jeonjusigab,abroad,0,0,1,0,Jeollabuk do_1,383,93,79,FALSE,d,TRUE,FALSE,Jeollabuk do_1
17731,17204,wanjugunjinangunmujugunjangsugun_wanjugun,abroad_office,1,0,0,0,Jeollabuk do_10,142158,44009,23054,FALSE,d,FALSE,FALSE,Jeollabuk do_10
17739,17204,wanjugunjinangunmujugunjangsugun_wanjugun,prevote_in,0,1,0,0,Jeollabuk do_10,142158,56095,33888,TRUE,p,FALSE,FALSE,Jeollabuk do_10
17698,17204,wanjugunjinangunmujugunjangsugun_mujugun,abroad,0,0,1,0,Jeollabuk do_10,45,15,9,FALSE,d,TRUE,FALSE,Jeollabuk do_10
18262,17204,jeonjusieul,samcheon3dongjei5tu,1,0,0,0,Jeollabuk do_2,165515,58482,34778,FALSE,p,FALSE,FALSE,Jeollabuk do_2
18234,17204,jeonjusieul,prevote_in,0,1,0,0,Jeollabuk do_2,165515,49481,32734,TRUE,p,FALSE,FALSE,Jeollabuk do_2
18231,17204,jeonjusieul,abroad,0,0,1,0,Jeollabuk do_2,390,70,52,FALSE,d,TRUE,FALSE,Jeollabuk do_2
18165,17204,jeonjusibyeong,ua2dongjei1tu,1,0,0,0,Jeollabuk do_3,231775,81700,51457,FALSE,p,FALSE,FALSE,Jeollabuk do_3
18191,17204,jeonjusibyeong,prevote_in,0,1,0,0,Jeollabuk do_3,231775,74300,52507,TRUE,p,FALSE,FALSE,Jeollabuk do_3
18117,17204,jeonjusibyeong,abroad,0,0,1,0,Jeollabuk do_3,435,85,69,FALSE,d,TRUE,FALSE,Jeollabuk do_3
17313,17204,gunsansi,susongdongjei10tu,1,0,0,0,Jeollabuk do_4,225207,74000,43609,FALSE,p,FALSE,FALSE,Jeollabuk do_4
17216,17204,gunsansi,prevote_in,0,1,0,0,Jeollabuk do_4,225207,75863,45168,TRUE,p,FALSE,FALSE,Jeollabuk do_4
17213,17204,gunsansi,abroad,0,0,1,0,Jeollabuk do_4,386,91,69,FALSE,d,TRUE,FALSE,Jeollabuk do_4
17881,17204,igsansigab,osanmyeonjei1tu,1,0,0,0,Jeollabuk do_5,118547,35852,27713,FALSE,p,FALSE,FALSE,Jeollabuk do_5
