uid,province,district,name,electionday,pre,abroad,dis,cons,NVoters,NValid,Votes,isprevote,type,isabroad,isdisab,constit,eday
7369,7225,gyeongjusi,angangeubjei7tu,1,0,0,0,Gyeongsangbuk-do_3,221009,77510,9462,FALSE,p,FALSE,FALSE,Gyeongsangbuk-do_3,TRUE
7416,7225,gyeongjusi,prevote_in,0,1,0,0,Gyeongsangbuk-do_3,221009,68743,12040,TRUE,p,FALSE,FALSE,Gyeongsangbuk-do_3,FALSE
7355,7225,gyeongjusi,abroad,0,0,1,0,Gyeongsangbuk-do_3,503,116,56,FALSE,d,TRUE,FALSE,Gyeongsangbuk-do_3,FALSE
8077,7225,gimcheonsi,daegogdongjei1tu,1,0,0,0,Gyeongsangbuk-do_4,120468,37668,6451,FALSE,p,FALSE,FALSE,Gyeongsangbuk-do_4,TRUE
8003,7225,gimcheonsi,prevote_in,0,1,0,0,Gyeongsangbuk-do_4,120468,42774,10438,TRUE,p,FALSE,FALSE,Gyeongsangbuk-do_4,FALSE
7995,7225,gimcheonsi,abroad,0,0,1,0,Gyeongsangbuk-do_4,234,56,21,FALSE,d,TRUE,FALSE,Gyeongsangbuk-do_4,FALSE
8341,7225,andongsiyeicheongun_andongsi,nogjeonmyeonjei1tu,1,0,0,0,Gyeongsangbuk-do_5,184579,63932,14492,FALSE,p,FALSE,FALSE,Gyeongsangbuk-do_5,TRUE
8292,7225,andongsiyeicheongun_andongsi,prevote_in,0,1,0,0,Gyeongsangbuk-do_5,184579,59504,17750,TRUE,p,FALSE,FALSE,Gyeongsangbuk-do_5,FALSE
8413,7225,andongsiyeicheongun_yeicheongun,abroad,0,0,1,0,Gyeongsangbuk-do_5,83,24,16,FALSE,d,TRUE,FALSE,Gyeongsangbuk-do_5,FALSE
7702,7225,gumisigab,sangmosagogdongjei1tu,1,0,0,0,Gyeongsangbuk-do_6,177336,69501,18894,FALSE,p,FALSE,FALSE,Gyeongsangbuk-do_6,TRUE
7698,7225,gumisigab,prevote_in,0,1,0,0,Gyeongsangbuk-do_6,177336,42237,16367,TRUE,p,FALSE,FALSE,Gyeongsangbuk-do_6,FALSE
7630,7225,gumisigab,abroad,0,0,1,0,Gyeongsangbuk-do_6,343,90,59,FALSE,d,TRUE,FALSE,Gyeongsangbuk-do_6,FALSE
7761,7225,gumisieul,sandongmyeonjei4tu,1,0,0,0,Gyeongsangbuk-do_7,162168,60830,19842,FALSE,p,FALSE,FALSE,Gyeongsangbuk-do_7,TRUE
7786,7225,gumisieul,prevote_in,0,1,0,0,Gyeongsangbuk-do_7,162168,35573,14559,TRUE,p,FALSE,FALSE,Gyeongsangbuk-do_7,FALSE
